tahun ;Beras;Beras Kualitas Bawah I;Beras Kualitas Bawah II;Beras Kualitas Medium I;Beras Kualitas Medium II;Beras Kualitas Super I;Beras Kualitas Super II;Daging Ayam;Daging Ayam Ras Segar;Daging Sapi;Daging Sapi Kualitas 1;Daging Sapi Kualitas 2;Bawang Merah;Bawang Merah Ukuran Sedang;Bawang Putih;Bawang Putih Ukuran Sedang;Cabai Rawit;Cabai Rawit Hijau;Cabai Rawit Merah;Minyak Goreng;Minyak Goreng Curah;Minyak Goreng Kemasan Bermerk 1;Minyak Goreng Kemasan Bermerk 2;Gula Pasir;Gula Pasir Kualitas Premium;Gula Pasir Lokal
 11/ 2022;13,9;12,7;11,8;14,35;13,3;16,6;14,6;35,85;35,85;142,5;148,35;136,65;37,15;37,15;34,15;34,15;40,85;34,15;47,5;19,35;16,6;20,7;20,7;15,15;15,15;15,15
 12/ 2022;14,05;12,85;11,95;14,5;13,45;16,8;14,75;38,5;38,5;142,5;148,35;136,65;37,5;37,5;34,85;34,85;56,25;57,5;55;19,9;17,1;21,7;20,85;15,15;15,15;15,15
 01/ 2023;14,25;13,05;12,15;14,8;13,65;17;15;34,15;34,15;140,85;146,65;135;48,35;48,35;36,15;36,15;61,65;55;68,35;19,5;16,75;21,05;20,7;15,15;15,15;15,15
 02/ 2023;14,55;13,3;12,4;14,95;13,9;17,4;15,25;35,1;35,1;140,85;146,65;135;41,65;41,65;38;38;66,25;55;77,5;19,4;16,85;21,1;20,25;15,15;15,15;15,15
 03/ 2023;14,45;13,25;12,35;14,9;13,85;17,25;15,2;35,65;35,65;140,85;146,65;135;41,65;41,65;40;40;66,65;51,65;81,65;19,2;16,4;21,25;19,95;15,15;15,15;15,15
 04/ 2023;14,4;13,25;12,35;14,9;13,85;17,25;14,8;41,2;41,2;145;150;140;55;55;43,85;43,85;44,25;44,15;44,35;19,2;16,4;21,25;19,95;15,15;15,15;15,15
 05/ 2023;14,5;13,25;12,4;14,9;13,85;17,25;15,2;39,35;39,35;141,65;146,65;136,65;49,15;49,15;44,15;44,15;48,35;46,65;50;19,05;16,55;20,6;19,95;15,25;15,35;15,15
 06/ 2023;14,5;13,25;12,4;14,9;13,85;17,2;15,2;42,85;42,85;141,65;146,65;136,65;45,85;45,85;42,5;42,5;48,75;45,85;51,65;19,1;16,55;20,75;19,95;15,25;15,35;15,15
 07/ 2023;14,45;13,2;12,35;14,85;13,8;17,1;15,15;39,5;39,5;141,65;146,65;136,65;35,85;35,85;49,15;49,15;43,75;42,5;45;19,1;16,55;20,75;19,95;15,5;15,5;15,5
 08/ 2023;14,85;13,65;12,9;15,25;14,25;17,5;15,55;39,1;39,1;141,65;146,65;136,65;35;35;45;45;47,9;42,5;53,35;18,85;16,4;20,45;19,75;15,75;15,85;15,65
 09/ 2023;15,2;13,95;13,25;15,55;14,55;17,85;15,9;35,85;35,85;141,65;146,65;136,65;32,5;32,5;45;45;42,9;44,15;41,65;18,7;16,25;20,1;19,75;15,85;15,85;15,85
 10/ 2023;15,2;13,95;13,25;15,55;14,55;17,85;15,9;35,65;35,65;141,65;146,65;136,65;32,5;32,5;45,85;45,85;80,85;64,15;97,5;18,3;16,1;19,1;19,75;16,9;16,85;16,95
 11/ 2023;15,2;13,95;13,35;15,55;14,55;17,85;15,9;34;34;141,65;146,65;136,65;36,65;36,65;43,35;43,35;87,5;68,35;106,65;18,15;16,1;18,95;19,45;17,85;17,85;17,8
 12/ 2023;15,4;14,1;13,4;15,6;14,6;18,45;16,3;35,15;35,15;141,65;146,65;136,65;44,15;44,15;45,85;45,85;72,5;51,65;93,35;18,05;16,1;18,75;19,25;18,15;18,2;18,1
 01/ 2024;15,6;14,35;13,65;15,7;14,7;18,75;16,6;34;34;141,65;146,65;136,65;36,65;36,65;47,5;47,5;51,25;49,15;53,35;18,15;16,35;18,85;19,25;18,15;18,2;18,1
 02/ 2024;16,15;15,05;14,3;16,15;15,3;19,35;16,95;36,1;36,1;141,65;146,65;136,65;40,85;40,85;46,65;46,65;71,65;55;88,35;18,5;17;19,2;19,25;18,15;18,2;18,1
 03/ 2024;16,15;14,95;14,1;16,15;15,3;19,35;16,95;37,5;37,5;141,65;146,65;136,65;38,35;38,35;48,85;48,85;53,35;54,15;52,5;19;17,7;19,5;19,75;18,3;18,35;18,2
 04/ 2024;15,45;14,4;13,5;15,6;14,75;18,15;16,4;36,85;36,85;140;145;135;71,65;71,65;58,85;58,85;50,85;48,35;53,35;19,1;17,95;19,75;19,6;19,2;19,35;19,05
 05/ 2024;15,4;14,25;13,3;15,45;14,55;18,35;16,4;37,9;37,9;140;145;135;50,85;50,85;55;55;45,4;47,5;43,35;19,15;18,05;19,9;19,4;19,55;19,7;19,4
 06/ 2024;15,6;14,3;13,35;15,5;14,6;19,2;16,55;38,65;38,65;140;145;135;42,5;42,5;46,65;46,65;45,4;49,15;41,65;19,1;18,05;19,9;19,4;19,45;19,7;19,2
 07/ 2024;15,65;14,3;13,5;15,6;14,7;19,2;16,55;35,6;35,6;140;145;135;32,5;32,5;49,15;49,15;80;65,85;94,15;19,2;18,3;19,9;19,4;19,55;19,9;19,2
 08/ 2024;15,55;14,2;13,5;15,6;14,7;18,9;16,55;34,65;34,65;140;145;135;31,65;31,65;47,5;47,5;53,75;53,35;54,15;19,15;18,2;19,9;19,4;19,4;19,7;19,05
 09/ 2024;15,55;14,15;13,45;15,6;14,7;18,9;16,6;35;35;140;145;135;31,65;31,65;48,35;48,35;45,85;40,85;50,85;19,25;18,45;19,9;19,35;19,2;19,55;18,8
 10/ 2024;15,55;14,15;13,4;15,55;14,65;18,8;16,6;39,35;39,35;136,65;141,65;131,65;35;35;49,15;49,15;43,35;36,65;50;19,5;18,85;20,1;19,6;19,2;19,55;18,8
 11/ 2024;15,45;14;13,25;15,5;14,6;18,8;16,5;36,5;36,5;135,4;140;130,85;45,85;45,85;50,85;50,85;35,4;30;40,85;20,05;20,5;20,1;19,6;19,35;19,9;18,8
 12/ 2024;15,5;14,1;13,3;15,6;14,7;18,85;16,55;38,75;38,75;134,6;139,15;130;45;45;50;50;79,3;69,15;89,4;20,65;20,85;21;20,1;19,45;19,9;18,95
